Cedi,Cliente,Transporte,Flete
CD3,CL16,SECO,416.3488372093023
CD3,CL12,SECO,416.3488372093023
CD5,CL7,SECO,416.3488372093023
CD8,CL12,SECO,416.3488372093023
CD8,CL11,SECO,416.3488372093023
CD5,CL14,SECO,416.3488372093023
CD1,CL15,SECO,416.3488372093023
CD4,CL15,SECO,416.3488372093023
CD6,CL15,SECO,416.3488372093023
CD3,CL10,REFRIGERADO,416.3488372093023
CD2,CL16,REFRIGERADO,416.3488372093023
CD2,CL14,REFRIGERADO,416.3488372093023
CD5,CL13,REFRIGERADO,416.3488372093023
CD5,CL10,REFRIGERADO,416.3488372093023
CD2,CL13,REFRIGERADO,416.3488372093023
CD3,CL16,REFRIGERADO,416.3488372093023
CD5,CL8,REFRIGERADO,416.3488372093023
CD4,CL12,REFRIGERADO,416.3488372093023
CD5,CL12,REFRIGERADO,416.3488372093023
CD2,CL15,REFRIGERADO,416.3488372093023
CD2,CL12,CONGELADO,416.3488372093023
CD2,CL16,CONGELADO,416.3488372093023
CD6,CL14,CONGELADO,416.3488372093023
CD8,CL12,CONGELADO,416.3488372093023
CD2,CL11,CONGELADO,416.3488372093023
CD4,CL13,CONGELADO,416.3488372093023
CD7,CL17,CONGELADO,416.3488372093023
CD5,CL7,CONGELADO,416.3488372093023
CD8,CL11,CONGELADO,416.3488372093023
CD6,CL11,CONGELADO,416.3488372093023
CD6,CL15,CONGELADO,416.3488372093023
CD4,CL17,CONGELADO,416.3488372093023
CD8,CL15,CONGELADO,416.3488372093023
CD8,CL7,CONGELADO,416.3488372093023
CD6,CL13,CONGELADO,416.3488372093023
CD4,CL7,CONGELADO,416.3488372093023
CD7,CL7,CONGELADO,416.3488372093023
CD5,CL16,CONGELADO,416.3488372093023
CD7,CL10,CONGELADO,416.3488372093023
CD5,CL15,CONGELADO,416.3488372093023
CD4,CL16,CONGELADO,416.3488372093023
CD3,CL10,CONGELADO,416.3488372093023
CD5,CL11,CONGELADO,416.3488372093023
CD5,CL13,CONGELADO,416.3488372093023
CD5,CL10,CONGELADO,416.3488372093023
CD4,CL10,CONGELADO,416.3488372093023
CD7,CL14,CONGELADO,416.3488372093023
CD8,CL14,CONGELADO,416.3488372093023
CD7,CL15,CONGELADO,416.3488372093023
