copas,gofres,bebidas,crepes,diaSemana,observacion,helados_inicio,helados_fin
[],"[{'inicio': '14:42:37,721', 'fin': '14:44:08,285'}]",[],[],domingo,,,
[],[],[],[],viernes,,"13:53:11,608","13:53:42,652"
[],[],[],[],viernes,,"14:19:48,541","14:20:14,500"
"[{'inicio': '13:06:45,043', 'fin': '13:10:42,132'}]",[],[],[],sábado,,,
[],[],"[{'inicio': '14:17:26,887', 'fin': '14:17:54,490'}]","[{'inicio': '14:13:20,296', 'fin': '14:17:51,016'}]",viernes,,,
"[{'inicio': '13:08:52,860', 'fin': '13:10:07,387'}]",[],[],[],viernes,,,
"[{'inicio': '14:00:55,475', 'fin': '14:02:12,760'}]",[],[],[],domingo,,,
[],[],[],[],sábado,,"12:24:57,065","12:25:05,798"
[],"[{'inicio': '12:59:25,270', 'fin': '13:04:50,796'}]",[],[],viernes,,,
[],"[{'inicio': '13:48:24,585', 'fin': '13:56:34,195'}]",[],[],viernes,,"13:49:02,080","13:49:44,305"
[],[],[],[],viernes,,"13:18:01,643","13:18:19,507"
[],[],[],[],sábado,,"12:31:34,236","12:32:56,117"
[],[],[],[],viernes,,"13:14:35,549","13:15:08,027"
[],[],[],[],viernes,,"13:33:57,365","13:34:13,227"
[],[],"[{'inicio': '14:28:55,283', 'fin': '14:30:57,791'}]",[],domingo,,,
[],[],[],[],sábado,,"13:22:01,410","13:22:27,535"
[],[],[],[],domingo,,"14:31:10,791","14:31:30,534"
[],[],[],[],domingo,Artesano,"13:45:11,808","13:47:00,130"
[],[],[],[],domingo,,"13:32:46,069","13:32:56,688"
[],[],[],[],sábado,,"12:08:03,174","12:08:31,675"
[],[],[],[],sábado,Copa,"13:59:34,558","14:00:11,080"
[],[],[],[],domingo,,"14:24:24,407","14:24:51,686"
[],[],[],[],domingo,,"13:23:06,777","13:23:43,796"
[],[],[],[],sábado,,"12:13:06,706","12:13:33,818"
[],[],[],[],domingo,,"14:47:14,715","14:47:46,007"
[],[],[],[],domingo,,"13:13:54,514","13:14:18,655"
[],"[{'inicio': '14:53:50,821', 'fin': '14:58:26,903'}]",[],[],domingo,2 gofres,,
[],[],[],[],domingo,,"13:19:02,771","13:19:19,111"
"[{'inicio': '13:16:00,191', 'fin': '13:17:18,850'}]",[],[],[],sábado,,"13:16:22,957","13:17:25,639"
[],[],[],[],viernes,,"14:06:10,843","14:06:44,567"
[],[],[],[],sábado,,"13:39:14,630","13:39:21,457"
[],[],[],[],domingo,,"14:04:22,931","14:04:29,224"
