id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
no6ZxdzgbP7xQQPvpRvQ,sábado,13:28:10.247000,"13:30:52,257","13:31:12,889","13:31:47,145",Tarjeta,
3DudsJbOEibJZq3esEvj,sábado,14:49:48.294000,"14:52:22,669","14:52:42,400","14:52:47,509",efectivo,
PAtR1zE1f4lRxURR5EHw,sábado,14:46:24.384000,"14:47:50,555","14:48:03,816","14:48:12,413",efectivo,
nlcxMIF8FqwmPQ8oxItM,sábado,13:45:00.504000,"13:50:39,927","13:51:19,095","13:53:53,465",bono,"Explicación de los helados por la cajera, el datáfono se volvió a dañar y tenían problemas para pasar el bono"
LyC08T6NdvMCSJb5o4R3,sábado,13:07:54.435000,"13:10:56,753","13:11:46,527","13:12:38,678",Tarjeta,Se volvió a trabar el datáfono 
b1aykMsnhtzC9jXQSaKd,sábado,14:36:33.310000,"14:37:09,180","14:37:27,140","14:37:34,259",efectivo,
nZfiJdZf8lMiYmpsQbOq,sábado,14:58:49.661000,"15:03:44,532","15:04:08,807","15:04:35,774",efectivo,"Nuevamente la cajera se fue, y llegaron como 5 a la vez, justo 1 minuto antes de las 3, dioooossssss, donde esta  la cajeraaaaaaa"
pkhuJ3qXcAJrbvxNIlSj,sábado,13:26:26.487000,"13:27:52,000","13:28:12,831","13:28:49,957",Tarjeta,
HkYBb1IMKK1Ew2fTcUIO,sábado,14:14:20.399000,"14:14:22,294","14:14:34,013","14:14:41,653",efectivo,
I6pV2VT588P4exiHQXId,sábado,13:17:05.334000,"13:19:32,685","13:19:41,272","13:19:52,681",Tarjeta,La cajera se demoró por estar en cocina 
3Tawoq687kmGkcKDDNz6,sábado,13:30:43.006000,"13:31:52,134","13:32:06,010","13:32:33,097",Tarjeta,
byX6dTUSCBZqTsbICr31,sábado,12:59:00.631000,"13:02:58,844","13:03:35,215","13:06:09,040",Tarjeta,Se acabó el papel del datáfono 
isH6JhfpHLmI7VGA1rgz,sábado,13:54:46.224000,"14:01:38,231","14:02:21,263","14:02:47,494",Tarjeta,
IaJtEWv0Qf3cquyPcbF3,sábado,12:52:27.790000,"12:53:31,353","12:53:40,660","12:54:04,493",efectivo,
IhhFN49F4cV8520wlXvY,sábado,13:05:34.865000,"13:10:22,516","13:10:38,510","13:10:51,953",Tarjeta,
KoISZs4iQgo1lWYr8mrG,sábado,12:11:45.263000,"12:12:32,075","12:12:40,577","12:12:53,167",Tarjeta,
IyHe4wyfQUHVH4nKVKsQ,sábado,14:48:26.525000,"14:50:18,546","14:50:48,052","14:51:01,239",Tarjeta,
JFcWpwUI8nAnG77c9nVH,sábado,14:32:46.400000,"14:33:11,308","14:33:27,207","14:33:44,171",efectivo,
JLFMcmtmldqLxiPNVo6R,sábado,12:08:33.296000,"12:10:53,576","12:11:08,575","12:11:21,199",Tarjeta,
JUoyqBem8730ohLoJEzq,sábado,12:04:10.726000,"12:05:05,650","12:05:16,994","12:05:22,647",efectivo,
bNWjliF7xwCKBBdtayHp,sábado,14:45:04.287000,"14:45:23,462","14:46:01,668","14:46:19,439",Tarjeta,
b9CXiWdyrITRR2FPKB0k,sábado,13:40:40.830000,"13:41:31,152","13:41:43,212","13:41:49,398",Tarjeta,
PUlvXIew1PKB4uefYPjH,sábado,13:55:06.390000,"14:02:50,211","14:03:02,272","14:03:18,516",efectivo,Eran viejitas entonces me movieron lento de la fila
aeqF9aFIQXuMmOEVYwKC,sábado,12:48:36.916000,"12:49:09,595","12:49:35,679","12:51:32,492",Tarjeta,
hxYES5nbd3vZSeYE6Urt,sábado,14:42:24.391000,"14:42:30,528","14:42:38,574","14:42:50,364",Tarjeta,
Tx33s47He11sFs7tn6At,sábado,14:13:23.396000,"14:13:48,214","14:13:55,367","14:14:16,715",Tarjeta,
lVV8E4rWP0xkEwWvkJ1m,sábado,14:48:39.241000,"14:51:38,725","14:52:03,753","14:52:19,379",Tarjeta,
2zNL8PaWYfzkERNuCLGd,sábado,12:51:41.290000,"12:52:13,559","12:52:37,930","12:52:42,416",efectivo,
UQgaEiqbxRpYFAxlYV3Y,sábado,13:38:23.137000,"13:38:37,815","13:38:46,498","13:38:52,576",efectivo,
YafMFiwCihdR5DGVrV3h,sábado,14:24:48.671000,"14:24:50,624","14:24:52,503","14:25:03,307",efectivo,
VOqAK7PvvT0EFfPD7jvy,sábado,14:32:52.988000,"14:33:59,879","14:34:03,785","14:34:23,764",efectivo,
VTCmfwEUFVvmTtTPsyHD,sábado,12:14:13.640000,"12:14:27,281","12:14:53,048","12:15:07,925",efectivo,
VhfZS6zwSCVsINb419fJ,sábado,12:22:05.793000,"12:22:15,509","12:22:25,736","12:22:46,381",efectivo,
l5ONO0tCin8vDhRDeQsL,sábado,13:44:51.136000,"13:49:12,405","13:49:32,652","13:50:35,626",efectivo,Se trabó el sistema al momento de subir el pedido 
WAPOCh4pBvVUgiYY4k1w,sábado,14:39:26.631000,"14:39:34,282","14:40:12,251","14:40:35,975",efectivo,
WcX1yyDIwAZSPSehXVjz,sábado,14:05:45.095000,"14:05:46,327","14:05:49,810","14:06:02,021",efectivo,
l0twmRubOXi01LRDhaEP,sábado,13:03:06.464000,"13:08:38,623","13:09:22,725","13:09:33,318",Tarjeta,"El niño ya había pedido un helado pero no le gustó, entonces lo botó y pidió de nuevo :("
XLrCXeOGohPZukRTWJ3M,sábado,14:51:33.017000,"14:52:51,557","14:53:01,104","14:53:17,892",efectivo,
k5hxF9ugue43wkAiSMZx,sábado,13:47:14.195000,"13:53:57,226","13:54:10,221","13:54:23,077",efectivo,
Xrshrviqm5iJGZdRLeL6,sábado,14:07:40.484000,"14:09:00,463","14:09:05,642","14:09:12,132",efectivo,
kdSo6ZhvjzWRL0GfghgG,sábado,13:35:23.176000,"13:35:44,995","13:36:48,623","13:36:58,432",efectivo,Le cajera explicó toda la carta
32hrMrZnJMqtCSAtS3Hp,sábado,13:22:11.054000,"13:23:07,776","13:23:42,398","13:24:10,934",Tarjeta,
04TaWTyYlwHFb1W50Hiq,sábado,14:36:34.923000,"14:37:40,323","14:37:44,665","14:38:01,070",efectivo,
QN9lXnZwDcw3fZwVZyc5,sábado,14:48:28.739000,"14:51:05,376","14:51:13,084","14:51:35,340",Tarjeta,
ZGVeiNm6y0nK8OiZDCQr,sábado,13:35:16.922000,"13:35:19,053","13:35:33,865","13:35:37,823",efectivo,
QTeXPoW7Luh9FcqP9B3o,sábado,14:33:42.077000,"14:35:29,121","14:35:55,771","14:36:03,975",efectivo,
1Hyc9te0Sg2HgWNeFaqk,sábado,13:54:18.941000,"14:00:26,595","14:00:50,192","14:01:28,450",efectivo,
aCtOaw0CGtQlFkmwu1DY,sábado,12:13:35.511000,"12:13:44,867","12:13:52,578","12:14:22,512",Tarjeta,
