id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
x7mwXY7FzJ62YEAx098e,domingo,14:52:31.447000,"15:01:03,391","15:01:21,476","15:02:01,805",efectivo,
xwr5oiJVhFc5HCSrEC9S,domingo,13:13:56.113000,"13:15:28,339","13:15:32,708","13:15:51,383",efectivo,
y0uFwNHESwhVSWHRGx6n,domingo,14:24:14.998000,"14:30:57,475","14:31:15,575","14:31:35,321",Tarjeta,
y6Ie69rdmXT7Ne3xw0mf,domingo,13:06:47.339000,"13:13:01,251","13:13:15,372","13:13:20,677",Tarjeta,
yETXVslABlxiJCeubW1x,domingo,13:47:04.722000,"13:49:23,680","13:50:37,306","13:50:59,471",Tarjeta,
yhLetVIPnVXlsDXSY1nx,domingo,14:12:52.915000,"14:14:15,381","14:14:23,728","14:14:37,023",efectivo,
z7fGIrDNFtyUnRR5kH4a,domingo,14:39:19.560000,"14:45:23,595","14:46:20,017","14:46:41,098",efectivo,
zCEuSsQzu5I7T4OHeram,domingo,12:56:16.197000,"12:56:22,465","12:56:25,107","12:56:40,281",efectivo,
zDdDb5fHzdd7AyuFzhDA,domingo,13:36:07.781000,"13:38:28,111","13:38:50,933","13:39:26,635",efectivo,
rIAFV27GyTnVEy1zHoLO,domingo,14:51:59.293000,"15:00:20,603","15:00:31,559","15:00:52,506",efectivo,
r28Cy2hweoFlSWHF5fw4,domingo,14:21:08.521000,"14:24:51,119","14:25:01,656","14:26:26,956",Tarjeta,
qohFK2g2jxECotHRHkZ1,domingo,11:40:45.243000,"11:41:09,863","11:41:37,239","11:41:50,763",Tarjeta,
qWw8teTZ29k8GjeRZYME,domingo,14:22:19.183000,"14:27:48,427","14:27:56,438","14:28:10,732",Tarjeta,
lS3GaXyqoC5iPY8hP4BD,domingo,11:59:11.380000,"12:00:35,991","12:01:00,302","12:01:12,866",Tarjeta,
llYIofjVVQK3a9A02e0A,domingo,14:48:04.169000,"14:57:01,593","14:57:30,192","14:57:37,417",Tarjeta,
1OQsJ83tbjXtzJv0UaBY,domingo,14:15:01.982000,"14:15:54,376","14:16:54,060","14:17:18,276",Tarjeta,
mJrvzQVheoWHKdIGug1R,domingo,14:51:19.901000,"14:59:27,056","14:59:35,147","14:59:46,604",efectivo,
mKq1ZTwFpOyOWki7sOcD,domingo,13:26:01.287000,"13:27:21,306","13:27:46,446","13:28:06,875",efectivo,
mQ2z7B7ofVDWMlazwRIx,domingo,12:18:19.556000,"12:19:14,514","12:19:40,405","12:19:57,703",efectivo,
n9ZnJcinzN7pJSkDf89c,domingo,12:49:06.330000,"12:53:29,344","12:53:47,142","12:54:13,894",Tarjeta,
nzcXNpPIRbBmUzmC0mZJ,domingo,13:46:39.357000,"13:48:39,637","13:49:06,187","13:49:14,135",efectivo,
1BZm9v4e9CuhHVMLia1s,domingo,13:37:39.962000,"13:39:42,144","13:40:10,787","13:40:25,589",Tarjeta,
ocdiXWF1W5twrDXWKUWc,domingo,12:41:06.896000,"12:41:11,314","12:41:44,096","12:42:04,154",efectivo,
ofHDBDavliDc7HUCIVgB,domingo,11:49:45.621000,"11:48:52,951","11:49:06,656","11:49:25,669",Tarjeta,
ewiAsJKf48u8hJYaKZwb,domingo,14:18:03.602000,"14:18:27,052","14:19:06,593","14:19:19,814",efectivo,
onqQF6YGYRD8TIl5McR2,domingo,13:14:23.461000,"13:15:56,082","13:16:08,868","13:16:25,255",Tarjeta,
p9kZ1rlFOC4lRS8EXGBd,domingo,12:40:01.089000,"12:40:02,269","12:40:21,376","12:40:33,446",efectivo,
0p4HsetcIPIMatEltAM4,domingo,12:09:06.957000,"12:10:44,196","12:10:54,449","12:11:02,626",efectivo,
pLpNZ4uWLHYNsicRzl57,domingo,12:57:16.759000,"13:00:25,344","13:00:54,104","13:01:20,727",efectivo,
pqFzh0rUauAPbgz7XfIz,domingo,12:09:00.558000,"12:09:55,521","12:10:21,306","12:10:37,620",Tarjeta,
pr5fJyWRrnxp7JgrZZnY,domingo,13:05:02.104000,"13:11:20,531","13:11:23,483","13:11:44,980",efectivo,
qPxGpzR7mGHnWZ4KLJ0T,domingo,14:05:17.860000,"14:06:07,246","14:06:46,151","14:07:03,983",efectivo,
f4uq4hQeXXDem76qd2pn,domingo,14:30:14.541000,"14:37:01,184","14:38:10,128","14:38:14,644",Tarjeta,
YAq7Y3q1Zd1ac3ZEGRWW,domingo,13:52:27.084000,"13:56:14,503","13:56:35,767","13:56:44,829",efectivo,
eubVnCyAX3x4melh4BU3,domingo,13:21:02.860000,"13:25:05,375","13:25:06,930","13:25:30,722",Tarjeta,
3oZynHJsbBEGo1Cb8ebC,domingo,12:29:56.599000,"12:32:07,321","12:32:38,977","12:33:08,827",efectivo,
EMeaAAJzqCTacX4crTOj,domingo,14:35:24.127000,"14:41:20,609","14:41:41,520","14:42:18,889",efectivo,
EfhF1RQJzvdcBYT5GN7m,domingo,13:46:12.262000,"13:48:10,186","13:48:32,636","13:48:36,223",efectivo,
FEc3kh9uHAIqqhRLNmKs,domingo,13:54:05.519000,"13:56:46,638","13:57:04,139","13:57:15,859",Tarjeta,
FPWGpMP5k3waN27TJ4GR,domingo,13:16:30.553000,"13:17:10,132","13:17:22,618","13:17:28,152",efectivo,
FUAo7v2j8CFEctOwgxm6,domingo,12:44:08.203000,"12:44:29,955","12:45:31,251","12:45:42,928",efectivo,
FduCaLMcJiKat9Vm80fn,domingo,13:40:30.760000,"13:41:10,683","13:41:24,943","13:41:36,308",Tarjeta,
FigmmO8wlWmvH5KJltKO,domingo,14:32:56.118000,"14:39:46,333","14:39:53,956","14:40:17,329",efectivo,
Fv71rpDwyxS4kVjw6NFM,domingo,11:48:06.217000,"11:49:30,319","11:49:42,761","11:49:52,903",efectivo,
4McLdGPPPoiigFTVjKr2,domingo,14:01:41.469000,"14:03:09,675","14:03:27,705","14:04:29,463",Tarjeta,
GGVdKISSZNLrPx3OHJXm,domingo,14:41:48.413000,"14:48:43,960","14:48:52,186","14:49:16,349",efectivo,
GR3FPB9n31cjH7mDvktS,domingo,14:46:17.029000,"14:53:40,155","14:53:46,987","14:53:58,350",efectivo,
DmomA6Z3wjQISa97Wo3N,domingo,14:23:37.024000,"14:29:17,168","14:29:29,831","14:29:47,086",Tarjeta,
GgrvvDElWBLoYDbkOiWT,domingo,13:24:05.380000,"13:25:39,503","13:25:44,794","13:25:47,581",efectivo,
H2yJN5zUxfhjUbdERRYg,domingo,12:48:00.385000,"12:48:16,714","12:49:49,163","12:49:51,313",efectivo,
HEYjpFbqzR4XnKuBkunS,domingo,13:05:00.438000,"13:10:52,276","13:11:00,445","13:11:09,744",efectivo,
HFfkm5n9DBeIND3qfLrg,domingo,13:34:34.211000,"13:36:54,619","13:37:04,482","13:37:18,859",Tarjeta,
3dFJ5SKZ0JtpOIyzn7l9,domingo,11:39:02.989000,"11:40:12,191","11:40:59,634","11:41:07,246",efectivo,
HowI24SQxFJd8BDLnT7l,domingo,13:52:08.846000,"13:54:29,659","13:54:58,499","13:55:29,660",Tarjeta,
IFP1W28kuC4LDaXz4bXn,domingo,13:06:49.406000,"13:13:25,074","13:13:33,596","13:13:44,965",efectivo,
IHz8wzYE0Zdteq8mWLTG,domingo,13:49:35.330000,"13:51:57,605","13:52:34,296","13:53:07,974",Tarjeta,
IRXidMQ8qZgk7OeH1QHa,domingo,11:48:33.512000,"11:49:56,941","11:50:02,142","11:50:09,034",efectivo,
Ic8LtfORNSwXVFMaJX2V,domingo,14:44:32.912000,"14:51:08,360","14:51:13,167","14:51:32,580",efectivo,
Dtf3WIHvGcONpG8MUwLz,domingo,13:14:25.728000,"13:16:34,043","13:16:51,834","13:17:05,082",efectivo,
DgvnEIEZ1V2qzxORdGql,domingo,13:40:33.025000,"13:41:40,939","13:42:03,165","13:42:11,691",Tarjeta,
emSqXekhTifdocr4Ngz2,domingo,14:13:50.411000,"14:14:46,451","14:15:13,629","14:15:23,487",Tarjeta,
92nEH8mheoTyRgeE6Dw7,domingo,12:46:47.132000,"12:47:17,246","12:47:21,340","12:47:35,893",efectivo,
6RXl3EDfBA13zcSIgzM6,domingo,14:25:36.166000,"14:32:20,028","14:32:31,500","14:32:45,539",efectivo,
6Tod2DP4rQH9YQNGf5E1,domingo,12:57:05.354000,"12:57:24,007","12:58:22,876","13:00:24,450",Tarjeta,No le pasó las primeras veces y cambio de tarjeta 
6hY4wKAYQaey3MXnssAU,domingo,14:26:05.667000,"14:32:52,896","14:33:41,382","14:34:00,511",Tarjeta,
6kT0L0jRuloVIFBxaBMk,domingo,14:23:15.450000,"14:28:17,831","14:28:25,278","14:29:11,103",Tarjeta,
6oku2KKPZZ1e5MnaQM1o,domingo,12:40:41.324000,"12:40:44,273","12:40:56,558","12:41:09,468",Tarjeta,
7OG1rcnUuvzh0bUuFTAh,domingo,13:47:21.889000,"13:47:23,978","13:48:00,384","13:48:05,070",Tarjeta,
5ZjGFYGntU4mqTd01Zev,domingo,13:06:21.051000,"13:11:49,402","13:11:56,047","13:12:06,276",efectivo,
7vLI3uz51xmG57rRG2i0,domingo,14:01:53.291000,"14:04:37,488","14:04:42,983","14:05:25,636",Tarjeta,
8ooLDLT1TKB6SkkeVfkh,domingo,13:03:37.010000,"13:05:39,463","13:06:07,365","13:06:23,235",efectivo,
8uaZXaEWB8v5pOYDcUBo,domingo,13:50:07.399000,"13:53:13,279","13:53:41,154","13:53:57,923",efectivo,
9E13lACJuBzFxqBpkPkp,domingo,14:11:15.071000,"14:12:58,356","14:13:18,748","14:14:11,239",efectivo,
DVJ8WpCiA6QrR27BZtA2,domingo,14:19:48.951000,"14:20:34,660","14:20:57,062","14:21:24,127",efectivo,
9I2ZgmrNfv4rWsccsnci,domingo,13:34:29.059000,"13:36:03,421","13:36:21,827","13:36:45,509",Tarjeta,
9bXiPTZPGDBMV6JwSvIX,domingo,14:38:29.657000,"14:43:41,773","14:44:38,509","14:44:41,705",Tarjeta,
9uJicsBqOCPUIWbBtsEb,domingo,13:45:15.122000,"13:45:52,227","13:46:45,838","13:47:16,241",Tarjeta,
A1bcDVVy1cYjbfqYIBkr,domingo,14:45:42.268000,"14:51:39,044","14:52:43,307","14:53:25,898",efectivo,
4aguoFbRsRi1u2J9fl4E,domingo,14:20:44.222000,"14:23:50,495","14:24:06,429","14:24:29,988",efectivo,
C1uZG5h9UWYKn3fR3smT,domingo,13:37:58.677000,"13:38:01,914","13:38:18,329","13:38:23,333",Tarjeta,
C9yeqc9OJU79cVkj181X,domingo,12:51:55.121000,"12:54:19,293","12:54:38,915","12:54:44,924",efectivo,
CwpKe5o5gbkeYPJ1MGEd,domingo,11:59:08.954000,"11:59:48,271","12:00:04,825","12:00:33,668",Tarjeta,
DAG9S6ko6p39LbIRjUAx,domingo,14:06:03.298000,"14:08:45,744","14:08:48,802","14:09:09,466",efectivo,
DO22vLufxMJBep1oNat0,domingo,13:06:46.161000,"13:12:35,202","13:12:47,559","13:12:56,066",efectivo,
JuDZ7RVQXxMhKeKsG7ri,domingo,12:47:32.243000,"12:47:42,093","12:47:54,789","12:48:14,146",Tarjeta,
K4AtpGn0pZGBAEgGBt0i,domingo,13:11:40.860000,"13:14:31,489","13:14:39,273","13:14:56,604",efectivo,
K8h5pWEFwmsoMt52XcH3,domingo,14:21:30.925000,"14:27:09,587","14:27:35,663","14:27:47,044",Tarjeta,
cjvEfGsirQP7vhPTG9oQ,domingo,13:28:02.815000,"13:28:55,952","13:29:22,442","13:29:59,202",efectivo,
YKEPa9emsbnEDx97t46P,domingo,13:49:30.333000,"13:51:09,753","13:51:26,066","13:51:49,023",efectivo,
YZ12uc3KEeyNpVABjDNR,domingo,13:03:54.775000,"13:07:32,360","13:08:10,140","13:10:44,890",bono,
2UvvLBsDTyS9WUDnzswV,domingo,13:10:54.767000,"13:13:58,121","13:14:04,662","13:14:28,631",Tarjeta,
azQsM3cZ8cESJKrLYFda,domingo,14:15:58.022000,"14:17:46,627","14:18:15,813","14:18:20,417",Tarjeta,
azrda9OuP5oPzFugjoSi,domingo,14:47:48.966000,"14:55:42,895","14:56:20,083","14:56:55,882",efectivo,
bbmDfTBCnpiUXmY9MGm2,domingo,13:31:55.234000,"13:31:58,154","13:32:17,962","13:32:42,621",efectivo,
bt9ysYQefJeioHLSpDSS,domingo,14:26:51.255000,"14:34:24,561","14:36:24,646","14:36:55,262",efectivo,
cEPOgAcoOz1nPPcrnyeC,domingo,14:34:37.541000,"14:40:23,841","14:40:54,152","14:41:16,088",Tarjeta,
cY84Q17yhRBtAUHlpxzG,domingo,14:05:23.336000,"14:08:25,896","14:08:27,927","14:08:39,365",efectivo,
cgSZM3sZXMLhYwvJeJsY,domingo,14:26:24.775000,"14:34:06,081","14:34:12,017","14:34:19,956",Tarjeta,
cxhxGSKTm1HxXISEoJW6,domingo,13:06:44.713000,"13:12:10,955","13:12:17,148","13:12:31,416",Tarjeta,
LH0kHcG5h336Dev35zKn,domingo,14:24:24.855000,"14:31:43,903","14:31:57,655","14:32:11,892",Tarjeta,
d8MSkn2V32TEwBmI22GQ,domingo,13:54:08.895000,"13:57:19,422","13:57:28,203","13:58:01,811",efectivo,
2KcHBQngP3ra4VGlejCB,domingo,13:38:12.273000,"13:40:34,090","13:40:56,931","13:40:58,194",efectivo,Me asusté con el globo que explotó 
25E6jzcXaF1rljsF8PmL,domingo,12:19:54.626000,"12:20:41,505","12:21:05,434","12:21:25,895",efectivo,
dU1FrkzBeecLV8ziFQQW,domingo,11:41:52.870000,"11:42:01,626","11:42:40,222","11:42:43,599",efectivo,
dV1jAZYjPi63k1luE30D,domingo,14:43:05.962000,"14:50:34,482","14:51:03,281","14:51:04,787",efectivo,
dVLL06RZNYnqUJHSf9lL,domingo,12:48:39.256000,"12:49:53,119","12:53:00,544","12:53:25,246",Tarjeta,
22KmRDFVfx6Njpis6V7f,domingo,12:18:42.771000,"12:20:01,882","12:20:32,985","12:20:37,023",efectivo,
22KKFosk9n9BiptiN1o4,domingo,14:49:29.136000,"14:57:44,773","14:58:13,958","14:58:33,670",Tarjeta,
eEicUnjSqj3x0j16y2O4,domingo,14:49:36.861000,"14:58:38,318","14:58:43,449","14:58:52,419",Tarjeta,
eZlB6l98HRp6k17yPmou,domingo,14:31:52.161000,"14:39:14,725","14:39:24,313","14:39:39,420",efectivo,
5vWt9ufC6qjBByYof2GU,domingo,14:23:40.545000,"14:29:55,562","14:30:24,533","14:30:51,665",Tarjeta,
XUql8cNBcj9UAwIrdjWd,domingo,13:45:10.945000,"13:45:35,540","13:45:37,793","13:45:46,339",Tarjeta,
X2haYKOjA9JcHCLrcGbm,domingo,12:25:52.862000,"12:25:54,299","12:26:51,127","12:27:12,639",Tarjeta,
Vt2K1w16BwJzRcJkVVQb,domingo,13:20:41.487000,"13:21:41,629","13:22:11,641","13:23:44,279",Tarjeta,
3LwNP3BoLMY3MAqhocze,domingo,12:01:16.929000,"12:01:22,218","12:01:44,556","12:02:27,217",Tarjeta,
MnbowGpUw9Oh92QOw9tY,domingo,13:24:07.813000,"13:26:38,495","13:26:44,570","13:27:19,538",Tarjeta,
NJculFI9IyjR5RJJzCDU,domingo,11:34:41.424000,"11:39:17,500","11:39:50,022","11:40:04,918",Tarjeta,"Cajera estaba alistando todo antes de atender, solo 2 en servicio "
NWlZb9dfMhvgGmnwLasb,domingo,14:31:21.973000,"14:38:19,645","14:38:51,620","14:39:05,905",efectivo,
Nmg6LnA9ONf5kKoErCbV,domingo,14:10:28.243000,"14:11:07,873","14:11:28,910","14:11:40,237",efectivo,
OZL91qXB7OgEF0cRadlF,domingo,12:34:25.510000,"12:35:32,347","12:35:48,235","12:36:36,366",efectivo,
PBbhcM8nR1838brofVGe,domingo,14:18:36.580000,"14:19:56,622","14:20:26,915","14:20:31,655",efectivo,
Ph4okJnBvHgWsZv1bFML,domingo,14:41:28.666000,"14:47:27,793","14:47:35,953","14:48:40,364",Tarjeta,
PlxhS9A8cE1rYYX42RCH,domingo,12:42:41.405000,"12:44:09,010","12:44:20,270","12:44:28,085",efectivo,
QgwJJ4GKQ5TuUr1uQG78,domingo,14:08:18.194000,"14:09:50,162","14:09:59,340","14:10:08,584",efectivo,
335UR5LLvtP77ZByUG9C,domingo,14:38:47.829000,"14:44:48,122","14:44:59,026","14:45:19,663",efectivo,
QmANNGVD9VSufAneY2tw,domingo,13:23:52.376000,"13:25:51,614","13:26:04,716","13:26:33,419",Tarjeta,
QuQq7YQDRTGAdTzfJTa1,domingo,15:01:25.821000,"15:02:28,340","15:02:55,613","15:02:57,157",efectivo,
REYkgWNEUL5qrom3gbmM,domingo,14:20:03.365000,"14:22:51,875","14:23:22,388","14:23:43,052",efectivo,
SDvEBQ0OVcjQaEJJfMhC,domingo,14:05:20.533000,"14:07:09,861","14:07:29,473","14:08:09,806",Tarjeta,
SXcU7MZpMhIBuNauUxgd,domingo,13:17:33.788000,"13:17:34,718","13:17:41,179","13:17:44,936",efectivo,
T6EByzKigSotoIDkFjsl,domingo,14:21:21.717000,"14:26:32,214","14:26:39,050","14:27:03,407",efectivo,
TZMu8qLdloYKQqoxhdHb,domingo,14:38:05.348000,"14:42:23,329","14:43:30,719","14:43:37,943",Tarjeta,
U5c8wQ9JB4MOEh6APXMX,domingo,13:51:18.991000,"13:53:59,212","13:54:14,440","13:54:28,585",Tarjeta,
UBMQY0B0pMLkIhq4EYFu,domingo,13:20:18.084000,"13:21:01,027","13:21:17,614","13:21:18,599",efectivo,
UfwCK6oZu8x6wHIUCoJV,domingo,13:27:44.594000,"13:28:12,329","13:28:35,382","13:28:47,679",Tarjeta,
042KP7Ctbl7lqjiCZV9h,domingo,14:19:53,"14:21:27,748","14:22:32,383","14:22:47,318",efectivo,
